name,winery,variety,region,country,vintage,rating,price,type,body,acidity,food_pairings
Espumante Moscatel,Casa Perini,Muscat/Moscato,Serra Gaúcha,Brazil,,4.13,,Sparkling,Medium-bodied,High,"['Pork', 'Rich Fish', 'Shellfish']"
Winemaker's Red Blend (Reserva),Casillero del Diablo,Cabernet Sauvignon,Santiago,Chile,,3.85,,Red,Full-bodied,Low,"['Beef', 'Lamb', 'Spicy Food', 'Maturated Cheese', 'Hard Cheese']"
Lote 43 Cabernet Sauvignon-Merlot,Miolo,Cabernet Sauvignon,Vale dos Vinhedos,Brazil,,4.23,,Red,Full-bodied,High,"['Beef', 'Lamb', 'Game Meat', 'Poultry']"
Vale da Pedra,Guaspari,Syrah/Shiraz,São Paulo,Brazil,,4.05,,Red,Full-bodied,High,"['Beef', 'Lamb', 'Game Meat', 'Poultry']"
Terroir Merlot,Miolo,Merlot,Vale dos Vinhedos,Brazil,,4.02,,Red,Full-bodied,Low,"['Beef', 'Lamb', 'Veal']"
Super Premium Quatro Castas Blend,Almaúnica,Syrah/Shiraz,Vale dos Vinhedos,Brazil,,4.23,,Red,Full-bodied,Medium,"['Beef', 'Lamb', 'Game Meat', 'Spicy Food', 'Maturated Cheese', 'Hard Cheese', 'Poultry']"
130 Brut Espumante,Casa Valduga,Chardonnay,Serra Gaúcha,Brazil,,4.04,,Sparkling,Medium-bodied,High,"['Pork', 'Rich Fish', 'Shellfish']"
Reserva Syrah,Almaúnica,Syrah/Shiraz,Vale dos Vinhedos,Brazil,,4.01,,Red,Full-bodied,High,"['Beef', 'Lamb', 'Game Meat', 'Poultry']"
STORIA Merlot,Casa Valduga,Merlot,Serra Gaúcha,Brazil,,4.39,,Red,Full-bodied,Low,"['Beef', 'Lamb', 'Veal']"
Leopoldina Gran Chardonnay,Casa Valduga,Chardonnay,Serra Gaúcha,Brazil,,4.17,,White,Full-bodied,High,"['Pork', 'Rich Fish', 'Vegetarian', 'Poultry']"
Vista de Serra Syrah,Guaspari,Syrah/Shiraz,Serra Negra,Brazil,,4.27,,Red,Full-bodied,High,"['Beef', 'Lamb', 'Game Meat', 'Poultry']"
Villa-Lobos Gran Reserva Cabernet Sauvignon,Casa Valduga,Cabernet Sauvignon,Serra Gaúcha,Brazil,,4.09,,Red,Full-bodied,High,"['Beef', 'Lamb', 'Poultry']"
Concentus Merlot-Tannat-Cabernet Sauvignon Gran Reserva,Pizzato,Merlot,Vale dos Vinhedos,Brazil,,4.12,,Red,Full-bodied,High,"['Beef', 'Lamb', 'Game Meat', 'Spicy Food', 'Poultry']"
DNA 99 Single Vineyard Merlot,Pizzato,Merlot,Vale dos Vinhedos,Brazil,,4.43,,Red,Full-bodied,Medium,"['Beef', 'Lamb', 'Veal']"
Sur Lie Nature,Casa Valduga,Chardonnay,Serra Gaúcha,Brazil,,4.1,,Sparkling,Medium-bodied,High,"['Pork', 'Rich Fish', 'Shellfish']"
Quorum (Grande Vindima),Lidio Carraro,Cabernet Sauvignon,Vale dos Vinhedos,Brazil,,4.09,,Red,Full-bodied,High,"['Beef', 'Lamb', 'Game Meat', 'Poultry']"
Aquarela Moscatel Espumante,Casa Perini,Muscat/Moscato Giallo,Serra Gaúcha,Brazil,,4.06,,Sparkling,Light-bodied,Medium,"['Snack', 'Soufflé', 'Rich Fish', 'Shellfish']"
Nature,Cave Geisse,Chardonnay,Serra Gaúcha,Brazil,,4.16,,Sparkling,Medium-bodied,High,"['Pork', 'Rich Fish', 'Shellfish']"
Brut,Cave Geisse,Chardonnay,Serra Gaúcha,Brazil,,4.04,,Sparkling,Medium-bodied,High,"['Pork', 'Rich Fish', 'Shellfish']"
